seed,maximum observed yield
670487,2.140049664
116739,2.675062079
26225,2.140049664
777572,2.675062079
288389,2.675062079
256787,2.675062079
234053,2.140049664
146316,2.675062079
772246,2.675062079
107473,2.140049664
709570,2.140049664
776646,2.675062079
935518,2.140049664
571858,2.675062079
91161,2.140049664
619176,2.140049664
442417,2.675062079
33326,2.140049664
31244,2.140049664
98246,2.675062079
229258,2.140049664
243962,2.675062079
529903,2.140049664
631262,2.675062079
27824,2.675062079
588508,2.140049664
208496,2.140049664
750800,2.140049664
681453,2.675062079
735392,2.140049664
571412,2.675062079
439898,2.140049664
231148,2.140049664
471029,2.675062079
617889,2.675062079
291704,2.140049664
848749,2.140049664
911527,2.675062079
6814,2.140049664
795667,2.675062079
844962,2.140049664
167414,2.675062079
732052,2.140049664
443143,2.675062079
356778,2.140049664
291369,2.675062079
163032,2.140049664
225772,2.140049664
800581,2.140049664
352944,2.675062079
